player,player_id,Season,Included in rank?,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
DJ Moore,48267,2025,0,CHI,1,100,1,1,3,4.2,0,0,0,100,1,0,1,0,1,0,2.72,1,6,82.5,67.8,68.9,69.8,0,0,1,8,100,0,118.8,0,0,0,0,0,1,0,0,2,2
Jauan Jennings,48027,2025,0,SF,1,100,1,1,26,4.4,0,0,0,100,1,0,1,0,1,0,3.11,1,28,43.6,67.1,71,,0,0,1,4,100,0,158.3,0,0,0,0,0,1,0,0,29,29
Jaylen Waddle,84088,2025,0,MIA,1,100,1,1,-4,3.2,0,0,0,100,1,2,0,0,1,0,-1.41,0,17,48,84,60.3,68.1,0,0,1,2,0,,100,0,0,0,0,0,0,0,0,8,8
Rigoberto Sanchez,12130,2025,0,IND,1,100,1,1,11,1.8,0,0,0,100,1,0,0,0,1,0,1.63,1,14,60.4,72.9,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,16,16
Breece Hall,97636,2025,0,NYJ,1,100,1,1,12,4.2,0,0,0,100,1,0,0,0,1,0,1.47,1,22,73.3,83.5,55.1,83.7,0,0,1,1,100,,122.9,0,0,0,0,0,1,0,0,4,4
Matt Haack,12212,2025,0,ARZ,1,100,1,1,19,2.2,0,0,0,100,1,0,0,0,1,0,5.88,1,1,60.4,73.1,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,28,28
Austin McNamara,99363,2025,0,NYJ,1,100,1,1,3,2.9,0,0,0,100,1,0,0,0,1,0,2.89,1,22,60.4,69.5,66.9,,0,0,1,0,100,,79.2,0,0,0,0,0,0,0,0,3,3
RJ Harvey,99622,2025,0,DEN,1,0,1,1,2,3.4,0,0,0,0,0,0,0,,1,0,-0.33,0,10,81,68.4,59,69.6,0,0,1,1,0,,39.6,0,0,0,0,0,0,1,100,0,0
Chris Olave,84355,2025,0,NO,1,0,1,1,4,2.4,0,0,0,0,0,3,0,,1,0,-3.53,0,20,83.7,78,53.5,,0,1,1,7,0,,0,0,0,0,0,0,0,1,100,0,0
Patrick Mahomes,11765,2024,1,KC,19,76.8,611,664,7,2.81,10,24,3.4,67.3,447,1,254,4.7,770,22,0.13,273,16,67.6,83.3,77.8,88.1,10,13,825,2,51.6,18.5,94.5,6.1,47,51,2,31,31,21,2.5,4607,6.9
Joe Burrow,28022,2024,1,CIN,17,79.6,612,652,7.7,2.65,8,38,5.5,70.6,460,1,248,5.5,725,27,0.11,264,7,56.9,93.9,92.9,74.8,8,9,775,9,52.4,19.4,108.5,6.6,48,22,1,23,43,15,1.9,4918,7.5
Jayden Daniels,97993,2024,1,WAS,20,78.1,548,594,7.7,2.95,15,22,3.5,68.4,406,1,259,5.1,736,22,0.15,250,32,75.5,90.6,84.7,90,1,10,781,2,51.4,19.7,99.7,6.9,51,87,2,28,30,12,1.5,4390,7.4
C.J. Stroud,129759,2024,1,HST,19,72.2,554,593,8.8,3.02,6,27,4.3,63.6,377,0,273,5.8,702,23,-0.02,229,13,76.3,80,77.6,73.3,10,13,741,5,42.9,23.1,87.6,9,63,45,1,22,21,21,2.8,4254,7.2
