passer_name,dropbacks,total_epa,epa_per_dropback
Curtis Painter,328,-61.13700000000002,-0.1863932926829269
John Wolford,132,-25.104000000000003,-0.1901818181818182
Marques Tuiasosopo,20,-3.8749999999999996,-0.19374999999999998
Brady Quinn,631,-124.37299999999998,-0.19710459587955623
Jake Haener,54,-10.816000000000006,-0.20029629629629642
Kelly Holcomb,104,-21.149000000000004,-0.20335576923076928
Nate Sudfeld,47,-9.756,-0.20757446808510638
Brooks Bollinger,110,-22.916999999999994,-0.2083363636363636
JaMarcus Russell,816,-173.0570000000002,-0.21207965686274532
Brandon Allen,383,-82.25299999999999,-0.21475979112271537
Randall Cobb,4,-0.8640000000000001,-0.21600000000000003
Aaron Brooks,244,-52.93,-0.21692622950819673
Ricky Pearsall,2,-0.43800000000000006,-0.21900000000000003
Jimmy Clausen,558,-123.56300000000003,-0.2214390681003585
John Beck,286,-64.39599999999996,-0.225160839160839
Billy Volek,54,-12.205999999999996,-0.22603703703703695
P.J. Walker,399,-91.29999999999998,-0.22882205513784457
Dennis Dixon,71,-16.457,-0.2317887323943662
Sam Ehlinger,132,-30.849999999999994,-0.23371212121212118
Tim Boyle,265,-62.829,-0.23709056603773584
Patrick Peterson,2,-0.477,-0.2385
Skylar Thompson,221,-53.62400000000002,-0.24264253393665167
Brett Rypien,198,-48.151999999999994,-0.24319191919191915
Dyami Brown,2,-0.489,-0.2445
Kenny Stills,2,-0.4890000000000001,-0.24450000000000005
Greg McElroy,51,-12.968,-0.2542745098039216
Bailey Zappe,399,-102.00699999999996,-0.2556566416040099
Matt Simms,48,-12.338999999999999,-0.25706249999999997
Christian Kirk,4,-1.0400000000000005,-0.2600000000000001
Chris Weinke,139,-36.19,-0.2603597122302158
Tony Pike,15,-3.908,-0.26053333333333334
Darnell Mooney,3,-0.795,-0.265
Drew Henson,5,-1.3359999999999999,-0.2672
Shedeur Sanders,265,-70.89899999999989,-0.26754339622641465
Josh Rosen,629,-174.16299999999993,-0.2768887122416533
Richard Bartel,57,-15.904,-0.2790175438596491
Joshua Cribbs,18,-5.075999999999999,-0.2819999999999999
Matt Prater,2,-0.5650000000000004,-0.2825000000000002
Ryan Lindley,339,-96.00199999999998,-0.2831917404129793
Treylon Burks,2,-0.577,-0.2885
Early Doucet,1,-0.289,-0.289
Andrew Walter,413,-121.375,-0.2938861985472155
Lee Evans,1,-0.294,-0.294
Hendon Hooker,11,-3.302,-0.30018181818181816
Shane Buechele,20,-6.335000000000001,-0.31675000000000003
Equanimeous St. Brown,1,-0.319,-0.319
Jamie Martin,30,-9.659,-0.3219666666666667
Travis Kelce,4,-1.289,-0.32225
Michael Clayton,1,-0.323,-0.323
Tyler Warren,1,-0.323,-0.323
Tyler Boyd,8,-2.5900000000000007,-0.3237500000000001
Rusty Smith,50,-16.232999999999997,-0.32465999999999995
