player,player_id,Season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tim Boyle,21956,2024,0,NYG,3,64.4,45,50,7.7,2.36,1,2,3.6,54,27,0,18,6.9,55,2,-0.35,12,21,81.8,54.8,54,62.4,0,1,61,0,40,11.1,68.4,3.6,2,2,1,3,1,3,4.9,276,5.5
Joshua Dobbs,11890,2024,0,SF,2,75.6,45,47,7.4,2.65,1,0,0,68.1,32,0,12,5.9,52,2,0.07,19,28,24.8,56.7,61.1,44.7,0,2,54,0,51.9,16.7,87.3,3.8,2,3,1,0,2,3,5.6,361,7.7
Tanner McKee,131770,2024,0,PHI,2,75,44,45,7.4,2.39,1,1,2.2,66.7,30,0,19,9.1,47,3,0.2,17,24,80.7,71.8,70,64.2,0,0,47,0,55.3,10.5,117.2,4.3,2,0,0,0,4,1,2.1,323,7.2
Tommy DeVito,60545,2024,0,NYG,2,78,41,44,5.8,2.59,0,0,0,70.5,31,0,20,3.1,55,1,-0.06,16,21,82.3,51.3,52.2,53.5,0,0,62,0,45.5,30,85.1,10.9,6,4,0,3,0,1,1.6,257,5.8
Marcus Mariota,9435,2024,0,WAS,3,88.1,42,44,9.8,3.13,0,4,8.2,77.3,34,0,13,8.1,51,3,0.37,24,32,83.3,90.1,90.8,65.1,0,0,57,0,62.7,23.1,131.3,5.9,3,4,1,1,4,0,0,364,8.3
Kenny Pickett,60515,2024,0,PHI,5,70.3,37,43,8.9,2.84,2,3,6.3,58.1,25,0,20,3.8,51,1,-0.16,12,24,82.9,65.7,63,66,2,1,57,0,35.3,20,84.5,7.8,4,3,0,2,2,2,3.5,291,6.8
Trey Lance,91399,2024,0,DAL,3,68.4,38,41,7.8,2.9,1,0,0,61,25,0,15,3.8,47,1,-0.28,14,9,81.8,64.4,65.8,55.5,1,1,50,0,38.3,26.7,69.8,8.5,4,2,0,1,0,1,2,266,6.5
Jimmy Garoppolo,8697,2024,0,LA,1,72.5,40,41,4.8,2.63,0,1,2.4,65.9,27,0,20,6.9,45,2,0.01,16,26,80.1,70.8,71.5,53.6,0,1,46,0,53.3,15,97,6.7,3,1,0,1,2,1,2.2,334,8.1
Jake Haener,60596,2024,0,NO,6,62.2,37,39,9,2.92,0,2,4.8,46.2,18,0,27,21.7,51,5,-0.25,10,20,81.8,57.2,56.7,59.4,1,1,54,0,33.3,22.2,62.6,11.8,6,5,0,1,1,1,1.9,226,5.8
Davis Mills,52269,2024,0,HST,4,61.8,34,36,7.6,2.35,1,0,0,55.6,20,0,8,4.8,39,1,-0.19,9,13,79.6,68.5,64,74.7,1,0,41,0,33.3,25,72.9,5.1,2,1,0,0,0,0,0,212,5.9
Skylar Thompson,60417,2024,0,MIA,2,74.2,31,33,7.6,2.78,0,0,0,63.6,21,0,17,8.7,40,2,-0.38,8,17,20.3,39.7,41.8,55.3,1,0,41,0,37.5,35.3,78.7,15,6,1,0,1,0,3,7.3,187,5.7
Bailey Zappe,60396,2024,0,CLV,1,60,30,31,8.1,2.68,0,3,8.8,51.6,16,0,9,11.1,33,2,-0.57,8,8,78.8,41,43.7,57.9,0,2,37,1,36.4,11.1,51.8,3,1,1,0,1,1,4,10.8,170,5.5
Brandon Allen,10835,2024,0,SF,2,70.4,27,30,8.1,2.78,0,0,0,56.7,17,0,12,10.5,33,2,-0.62,8,28,20.4,41.1,44.5,54.4,0,2,33,1,33.3,16.7,60.3,6.1,2,1,0,3,1,4,12.1,199,6.6
Joe Milton III,82151,2024,0,NE,1,81.5,27,29,10.5,3.33,0,3,9.4,75.9,22,0,11,0,32,0,0.31,15,19,79.8,95.8,94.9,72.6,0,0,35,1,59.4,0,111.4,0,0,2,0,2,1,0,0,241,8.3
Mitch Trubisky,11757,2024,0,BUF,5,76,25,26,6.2,2.29,0,0,0,73.1,19,0,6,0,28,0,0.28,7,4,80.9,50.9,49.5,55.2,0,0,28,0,46.4,0,117.3,0,0,1,0,1,2,1,3.6,179,6.9
Tyrod Taylor,6332,2024,0,NYJ,2,81,21,22,4.8,2.69,0,0,0,77.3,17,0,8,0,24,0,0.56,9,22,25.6,74.5,78.4,49.2,0,0,27,0,62.5,0,128.6,0,0,2,0,1,3,0,0,119,5.4
Carson Wentz,10636,2024,0,KC,2,66.7,18,19,5.2,2.61,0,0,0,63.2,12,0,13,0,25,0,-0.4,5,16,77.1,50.7,51.1,57.9,1,0,26,0,24,30.8,80.6,16,4,1,0,0,0,0,0,118,6.2
Sam Howell,97599,2024,0,SEA,1,46.2,13,14,6.6,3.12,0,0,0,35.7,5,0,12,16.7,19,1,-0.95,1,29,74.8,27,27.6,58.3,1,1,19,0,15.8,33.3,14.6,21.1,4,1,0,0,0,2,10.5,24,1.7
Mike White,46453,2024,0,BUF,1,44.4,9,11,9.9,2.34,1,0,0,27.3,3,0,2,25,12,1,-0.89,1,4,72.4,45.8,46.2,,1,0,12,0,16.7,0,39.6,0,0,0,0,0,0,0,0,28,2.5
Hendon Hooker,60593,2024,0,DET,3,77.8,9,9,5.6,2.82,0,0,0,66.7,6,0,5,14.3,11,1,-0.3,3,11,74.1,74.1,72.8,63.8,0,0,11,0,36.4,20,86.3,9.1,1,1,0,0,0,0,0,62,6.9
Taylor Heinicke,9896,2024,0,LAC,4,80,5,5,6.2,3.12,0,0,0,60,3,0,3,25,10,1,-1.07,2,27,71.4,74.7,72.9,63.7,0,0,10,0,30,100,75.4,30,3,2,0,0,0,0,0,28,5.6
Taysom Hill,12112,2024,0,NO,4,50,4,4,13.5,3.65,0,0,0,50,2,0,2,0,4,0,-1.05,1,20,49.9,71.8,39.5,89.9,0,1,5,0,25,0,26,0,0,0,0,0,0,1,20,21,5.3
Josh Johnson,4474,2024,0,BLT,3,66.7,3,3,18,2.63,0,0,0,66.7,2,0,2,0,4,0,-0.65,1,3,71.3,57.8,61.8,54,0,0,4,0,25,50,81.3,25,1,0,0,0,0,0,0,17,5.7
Tyson Bagent,169628,2024,0,CHI,2,100,2,2,0.5,1.5,0,0,0,100,2,0,0,0,2,0,0.48,1,6,71.7,64.4,62,61.6,0,0,2,0,50,,89.6,0,0,0,0,0,0,0,0,11,5.5
Nick Mullens,12282,2024,0,MIN,2,100,2,2,12,2.15,0,0,0,100,2,0,1,0,2,0,2.82,2,18,69.1,76.1,75.5,60.5,0,0,2,0,100,0,118.8,0,0,0,0,0,0,0,0,38,19
Riley Dixon,10862,2024,0,DEN,2,100,2,2,5,1.75,0,0,0,100,2,0,0,0,2,0,0.98,1,10,63.6,79.9,71.8,,0,0,2,0,50,,104.2,0,0,0,0,0,0,0,0,18,9
David Montgomery,45719,2024,0,DET,2,100,2,2,4,1.9,0,0,0,100,2,0,0,0,2,0,1.3,2,11,68.1,85.9,70.4,80.1,0,0,2,1,100,,154.2,0,0,0,0,0,1,0,0,23,11.5
Johnny Hekker,7252,2024,0,CAR,2,0,2,2,10.5,2.15,0,0,0,0,0,0,0,,2,0,-2.26,0,5,63.6,47.9,50.7,,0,0,2,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Courtland Sutton,48164,2024,0,DEN,2,100,2,2,9,2.9,0,0,0,100,2,0,1,0,2,0,2.85,2,10,54.6,75.5,78.4,,0,0,2,1,100,0,158.3,0,0,0,0,0,1,0,0,30,15
Clayton Tune,77652,2024,0,ARZ,1,100,2,2,1,1.3,0,0,0,100,2,0,0,0,2,0,-0.65,0,1,19.9,45.6,61.5,43.1,0,0,2,0,50,,83.3,0,0,0,0,0,0,0,0,8,4
Bryan Anger,7072,2024,0,DAL,2,50,2,2,6.5,1.95,0,0,0,50,1,0,0,0,2,0,-2.43,0,9,63.6,44.6,44.8,,0,0,2,0,0,,56.3,0,0,0,0,0,0,1,50,4,2
Malik Nabers,146759,2024,0,NYG,1,,0,1,,4.3,0,0,0,0,0,1,1,,1,0,-0.44,0,21,61.8,86.7,60,50.7,0,0,1,6,0,0,39.6,0,0,0,0,1,0,0,0,0,0
Tyler Boyd,10689,2024,0,TEN,1,0,1,1,25,3.2,0,0,0,0,0,0,0,,1,0,-0.48,0,31,78.3,60,51.2,,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Keenan Allen,7857,2024,0,CHI,1,0,1,1,19,5.5,0,0,0,0,0,0,0,,1,0,-6.32,0,6,49.6,64.4,36.8,,0,1,2,4,0,,0,0,0,0,0,0,0,1,50,0,0
Kyle Trask,39987,2024,0,TB,1,100,1,1,-3,1,0,0,0,100,1,0,0,0,1,0,0.3,0,30,70.4,63.8,60,61.3,0,0,1,0,100,,87.5,0,0,0,0,0,0,0,0,5,5
JK Scott,38809,2024,0,LAC,1,100,1,1,-4,2.8,0,0,0,100,1,0,0,0,1,0,-2.36,0,27,60.4,61,60.3,60,0,0,1,0,0,,79.2,0,0,0,0,0,0,0,0,3,3
Allen Lazard,48135,2024,0,NYJ,1,,0,1,,5.3,0,0,0,0,0,2,0,,1,0,-0.83,0,22,77.9,62.7,60,,0,0,1,7,0,,39.6,0,0,0,0,1,0,0,0,0,0
Cedrick Wilson Jr.,48170,2024,0,NO,2,100,1,1,20,5.6,0,0,0,100,1,0,1,0,2,0,0.85,1,20,26.2,63.5,70.3,,0,0,2,1,50,100,158.3,50,1,0,0,0,1,0,0,21,21
Darnell Mooney,48236,2024,0,ATL,1,,0,1,,4.2,0,0,0,0,0,0,1,,1,0,-0.4,0,2,80.9,74,60,,0,0,1,2,0,0,39.6,0,0,0,0,1,0,0,0,0,0
DJ Moore,48267,2024,0,CHI,1,0,1,1,36,3.2,0,0,0,0,0,0,0,,1,0,-0.47,0,6,62,73.5,59.7,64.6,0,0,1,5,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tress Way,8358,2024,0,WAS,1,100,1,1,16,2.3,0,0,0,100,1,0,0,0,1,0,5.22,1,32,60.4,73.1,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,23,23
AJ Cole,36038,2024,0,LV,1,100,1,1,4,2.2,0,0,0,100,1,0,0,0,1,0,5.15,1,23,60.4,70.3,66.9,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,34,34
Jack Fox,34735,2024,0,DET,1,100,1,1,15,2,0,0,0,100,1,0,0,0,1,0,5.1,1,11,60.4,72.6,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,17,17
Teddy Bridgewater,8667,2024,0,DET,1,100,1,1,3,2.5,0,0,0,100,1,0,0,0,1,0,-0.03,1,11,60.4,57.8,58,,0,0,1,0,0,,79.2,0,0,0,0,0,0,0,0,3,3
Stefon Diggs,9579,2024,0,HST,2,100,1,1,-4,4.15,0,0,0,100,1,0,0,0,2,0,2.08,2,13,79.7,79,60.4,64.9,0,0,2,2,100,,118.8,0,0,1,0,0,0,0,0,13,13
Justin Jefferson,61398,2024,0,MIN,2,100,1,1,-4,5.85,0,0,0,100,1,1,1,0,2,0,1.74,1,18,60.9,86.6,60.3,58.3,0,0,2,3,50,0,118.8,0,0,1,0,0,0,0,0,22,22
Kyle Allen,26152,2024,0,PIT,1,100,1,1,13,2.2,0,0,0,100,1,0,0,0,1,0,1.19,1,25,60.4,73.2,71.6,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,19,19
Tutu Atwell,77965,2024,0,LA,1,0,1,1,35,3.4,0,0,0,0,0,0,0,,1,0,-0.5,0,26,79.1,72.7,59.7,49.5,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Dyami Brown,77986,2024,0,WAS,1,100,1,1,39,3.7,0,0,0,0,0,0,0,100,1,1,-0.52,0,32,20.3,66.5,73.4,63.5,0,0,1,4,0,,39.6,0,0,0,0,0,0,0,0,0,0
Kendrick Bourne,12270,2024,0,NE,1,0,1,1,0,3.2,0,0,0,0,0,0,0,,1,0,-1.48,0,19,77.1,62.1,57.7,62,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Joe Mixon,11803,2024,0,HST,2,0,1,1,18,2.8,0,0,0,0,0,0,1,,1,0,-2.9,0,13,87.5,75.8,54.9,76.5,0,0,2,3,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,84470,2024,0,DET,1,100,1,1,5,3.9,0,0,0,100,1,1,0,0,1,0,2.36,1,11,64,89.3,60.5,58.8,0,0,1,3,100,,135.4,0,0,0,0,0,1,0,0,7,7
Ricky Pearsall,100660,2024,0,SF,1,,0,1,,5.75,0,0,0,0,0,0,2,,2,0,-0.22,0,28,79.2,63.9,60,57,0,0,2,2,50,0,39.6,0,0,1,0,1,0,0,0,0,0
Jameson Williams,101701,2024,0,DET,1,0,1,1,20,4.6,0,0,0,0,0,0,0,,1,0,-4.67,0,11,82.3,74.5,41.3,81.3,0,1,1,4,0,,0,0,0,0,0,0,0,1,100,0,0
Miles Killebrew,10745,2024,0,PIT,1,100,1,1,17,1.1,0,0,0,0,0,0,0,100,1,1,-1.37,0,25,60.4,73.1,68.8,,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Jaxon Smith-Njigba,129758,2024,0,SEA,1,100,1,1,33,3.8,0,0,0,100,1,1,1,0,1,0,2.36,1,29,60.2,81,59.7,50.6,0,0,1,3,100,0,118.8,0,0,0,0,0,0,0,0,35,35
Jalen Coker,143068,2024,0,CAR,1,100,1,1,15,3,0,0,0,100,1,0,0,0,1,0,0.68,1,5,77.1,72.8,68.8,,0,0,1,2,100,,118.8,0,0,0,0,0,0,0,0,19,19
Adonai Mitchell,146712,2024,0,IND,2,100,1,1,-6,1.75,0,0,0,100,1,0,0,0,2,0,-4.31,1,14,20.3,57.9,36.4,55.4,0,0,2,1,50,,118.8,0,0,0,0,0,0,0,0,24,24
